,Country,TotalSales
35,United Kingdom,7308391.55
23,Netherlands,285446.34
10,EIRE,265545.9
14,Germany,228867.14
13,France,209024.05
0,Australia,138521.31
30,Spain,61577.11
32,Switzerland,56443.95
3,Belgium,41196.34
31,Sweden,38378.33
19,Japan,37416.37
24,Norway,36165.44
26,Portugal,33439.89
12,Finland,22546.08
29,Singapore,21279.29
6,Channel Islands,20450.44
9,Denmark,18955.34
18,Italy,17483.24
7,Cyprus,13590.38
1,Austria,10198.68
25,Poland,7334.65
17,Israel,7221.69
15,Greece,4760.52
16,Iceland,4310.0
5,Canada,3666.38
33,USA,3580.39
22,Malta,2725.59
36,Unspecified,2667.07
34,United Arab Emirates,1902.28
20,Lebanon,1693.88
21,Lithuania,1661.06
11,European Community,1300.25
4,Brazil,1143.6
27,RSA,1002.31
8,Czech Republic,826.74
2,Bahrain,548.4
28,Saudi Arabia,145.92
